Job Title,Company,City,State
Data Scientist,Xpert Staffing,ATLANTA,GA
Data Analyst,Operation HOPE,ATLANTA,GA
Data Scientist,Cotiviti,ATLANTA,GA
Data Scientist,Relus Cloud,ATLANTA,GA
Data Scientist,Inspire Brands,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Scientist,AirSage,ATLANTA,GA
Data Scientist,Catalina Marketing,ATLANTA,GA
Data Scientist,SalesLoft,ATLANTA,GA
Data Scientist,McKesson,ATLANTA,GA
Data Scientist,The Intersect Group,ATLANTA,GA
Data Scientist,OM Partners,ATLANTA,GA
Data Scientist,Cotiviti,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Engineer,Gallup,ATLANTA,GA
Data Scientist,MacDermid Inc.,ATLANTA,GA
Data Analyst,Evident,ATLANTA,GA
Data Analyst,GreenSky,ATLANTA,GA
Data Scientist,PreVisor,ATLANTA,GA
Data Analyst,Voya Financial,ATLANTA,GA
Data Analyst,"Epiq Systems, Inc.",ATLANTA,GA
Data Analyst,Intercontinental Exchange,ATLANTA,GA
Data Engineer,ThoughtWorks,ATLANTA,GA
Data Analyst,SKIM,ATLANTA,GA
Data Analyst,ResMed,ATLANTA,GA
Data Scientist,Smith Hanley Associates,ATLANTA,GA
Data Scientist,"Xpect SVC, LLC",ATLANTA,GA
Data Engineer,Optomi,ATLANTA,GA
Data Scientist,R&D Partners,ATLANTA,GA
Data Scientist,Matrix Resources,ATLANTA,GA
Data Engineer,Feedzai,ATLANTA,GA
Data Scientist,"Elavon, Inc.",ATLANTA,GA
Data Scientist,Cardinal Solutions,ATLANTA,GA
Data Scientist,Operation HOPE,ATLANTA,GA
Data Scientist,The Coca-Cola Company,ATLANTA,GA
Data Scientist,U.S. Bank,ATLANTA,GA
Data Scientist,Catalina Marketing,ATLANTA,GA
Data Analyst,"Happy Faces Personnel Group, Inc.",ATLANTA,GA
Data Scientist,Premierehire,AUSTIN,TX
Data Scientist,Clockwork Solutions,AUSTIN,TX
Data Scientist,Amazon.com,AUSTIN,TX
Data Scientist,Prestige Staffing,AUSTIN,TX
Data Analyst,Applied Systems Inc.,AUSTIN,TX
Data Scientist,HireStarter,AUSTIN,TX
Data Scientist,"RetailMeNot, Inc.",AUSTIN,TX
Data Scientist,IBM,AUSTIN,TX
Data Scientist,Clockwork Solutions,AUSTIN,TX
Data Engineer,Keller Williams,AUSTIN,TX
Data Analyst,Wholefoods,AUSTIN,TX
Data Analyst,IHS Markit,AUSTIN,TX
Data Scientist,Valkyrie Intelligence,AUSTIN,TX
Data Scientist,"ScaleFactor, Inc.",AUSTIN,TX
Data Scientist,SPK Consultants Inc,AUSTIN,TX
Data Engineer,Clockwork Solutions,AUSTIN,TX
Data Engineer,BlackLocus,AUSTIN,TX
Data Scientist,Atlas Wearables,AUSTIN,TX
Data Scientist,KEYW Corporation,AUSTIN,TX
Data Scientist,Applied Systems Inc.,AUSTIN,TX
Data Scientist,SHI International Corp.,AUSTIN,TX
Data Scientist,BlackLocus,AUSTIN,TX
Data Scientist,Recurly,BOULDER,CO
Data Scientist,Splunk,BOULDER,CO
Data Scientist,Gaia International Inc.,BOULDER,CO
Data Scientist,CA Technologies,BOULDER,CO
Data Scientist,Trimble Inc.,BOULDER,CO
Data Scientist,"Miragen Therapeutics, Inc.",BOULDER,CO
Data Engineer,"Pandora Media, Inc.",BOULDER,CO
Data Engineer,Partners HealthCare(PHS),BOSTON,MA
Data Scientist,MARC USA LLC,BOSTON,MA
Data Scientist,Tessella,BOSTON,MA
Data Scientist,Bose,BOSTON,MA
Data Analyst,MFS Investment Management,BOSTON,MA
Data Scientist,Thomson Reuters,BOSTON,MA
Data Scientist,Darwin Recruitment,BOSTON,MA
Data Analyst,Harvard Pilgrim Health Care,BOSTON,MA
Data Engineer,Cervello Inc,BOSTON,MA
Data Scientist,Workbridge Associates,BOSTON,MA
Data Engineer,Vertex Pharmaceuticals,BOSTON,MA
Data Engineer,Vertex,BOSTON,MA
Data Scientist,Partners HealthCare(PHS),BOSTON,MA
Data Engineer,Pluralsight,BOSTON,MA
Data Engineer,Klaviyo,BOSTON,MA
Data Engineer,Manulife Financial,BOSTON,MA
Data Engineer,Soroco,BOSTON,MA
Data Scientist,"Lynx, Inc.",BOSTON,MA
Data Engineer,Spotify,BOSTON,MA
Data Engineer,Data+Math,BOSTON,MA
Data Engineer,Manulife,BOSTON,MA
Data Engineer,John Hancock,BOSTON,MA
Data Analyst,"Jenzabar, Inc",BOSTON,MA
