City,Median Housing Price YTD,State
UNITED STATES,234666.66666666666,
NEW YORK,390933.3333333333,NY
LOS ANGELES,628250.0,CA
CHICAGO,236916.66666666666,IL
DALLAS,251450.0,TX
PHILADELPHIA,213650.0,PA
WASHINGTON,388650.0,DC
MIAMI,266500.0,FL
ATLANTA,215200.0,GA
BOSTON,436283.3333333333,MA
SAN FRANCISCO,791650.0,CA
RIVERSIDE,353250.0,CA
PHOENIX,250416.66666666666,AZ
SEATTLE,461933.3333333333,WA
MINNEAPOLIS,261700.0,MN
SAN DIEGO,556566.6666666666,CA
ST. LOUIS,166966.66666666666,MO
TAMPA,214316.66666666666,FL
BALTIMORE,252400.0,MD
DENVER,398433.3333333333,CO
PITTSBURGH,146566.66666666666,PA
PORTLAND,385183.3333333333,OR
CHARLOTTE,223816.66666666666,NC
SACRAMENTO,395783.3333333333,CA
SAN ANTONIO,211400.0,TX
ORLANDO,,FL
CINCINNATI,169833.33333333334,OH
CLEVELAND,141100.0,OH
KANSAS CITY,215050.0,MO
LAS VEGAS,272466.6666666667,NV
COLUMBUS,194950.0,OH
INDIANAPOLIS,180066.66666666666,IN
SAN JOSE,1038316.6666666666,CA
AUSTIN,293850.0,TX
VIRGINIA BEACH,225650.0,VA
NASHVILLE,260083.33333333334,TN
PROVIDENCE,269233.3333333333,RI
MILWAUKEE,216716.66666666666,WI
JACKSONVILLE,194883.33333333334,FL
MEMPHIS,153350.0,TN
OKLAHOMA CITY,162083.33333333334,OK
LOUISVILLE,178083.33333333334,KY
HARTFORD,216733.33333333334,CT
RICHMOND,241300.0,VA
NEW ORLEANS,195800.0,LA
BUFFALO,152866.66666666666,NY
RALEIGH,257600.0,NC
BIRMINGHAM,178133.33333333334,AL
SALT LAKE CITY,332316.6666666667,UT
ROCHESTER,138500.0,NY
GRAND RAPIDS,194466.66666666666,MI
TUCSON,210683.33333333334,AZ
TULSA,151300.0,OK
FRESNO,,CA
WORCESTER,261033.33333333334,MA
STAMFORD,383233.3333333333,CT
ALBUQUERQUE,206883.33333333334,NM
ALBANY,198200.0,NY
OMAHA,187233.33333333334,NE
NEW HAVEN,206483.33333333334,CT
BAKERSFIELD,,CA
KNOXVILLE,178966.66666666666,TN
GREENVILLE,182766.66666666666,SC
VENTURA,590300.0,CA
ALLENTOWN,180300.0,PA
EL PASO,146400.0,TX
BATON ROUGE,181100.0,LA
DAYTON,124933.33333333333,OH
COLUMBIA,150933.33333333334,SC
GREENSBORO,152433.33333333334,NC
AKRON,140316.66666666666,OH
NORTH PORT,,FL
LITTLE ROCK,155266.66666666666,AR
STOCKTON,355683.3333333333,CA
CHARLESTON,246066.66666666666,SC
SYRACUSE,139150.0,NY
COLORADO SPRINGS,296833.3333333333,CO
WINSTON,151983.33333333334,NC
WICHITA,157250.0,KS
SPRINGFIELD,206400.0,MA
FORT MYERS,,FL
BOISE CITY,278283.3333333333,ID
TOLEDO,124466.66666666667,OH
MADISON,255183.33333333334,WI
LAKELAND,181466.66666666666,FL
OGDEN,284716.6666666667,UT
DAYTONA BEACH,203950.0,FL
DES MOINES,197950.0,IA
YOUNGSTOWN,92150.0,OH
AUGUSTA,157950.0,GA
SCRANTON,,PA
HARRISBURG,166500.0,PA
MELBOURNE,214950.0,FL
CHATTANOOGA,183066.66666666666,TN
SPOKANE,238366.66666666666,WA
PROVO,,UT
LANCASTER,211050.0,PA
MODESTO,,CA
DURHAM,248133.33333333334,NC
SANTA ROSA,607600.0,CA
LEXINGTON,181283.33333333334,KY
LAFAYETTE,165266.66666666666,LA
LANSING,145350.0,MI
FAYETTEVILLE,191550.0,AR
PENSACOLA,187466.66666666666,FL
VISALIA,228700.0,CA
YORK,172266.66666666666,PA
FLINT,121750.0,MI
RENO,360300.0,NV
ASHEVILLE,256050.0,NC
PORT ST. LUCIE,218783.33333333334,FL
SANTA MARIA,563683.3333333334,CA
HUNTSVILLE,174650.0,AL
FORT WAYNE,149300.0,IN
SALINAS,561933.3333333334,CA
VALLEJO,418900.0,CA
READING,155200.0,PA
KILLEEN,,TX
CANTON,129216.66666666667,OH
MANCHESTER,268566.6666666667,NH
SALEM,282266.6666666667,OR
ANCHORAGE,297850.0,AK
DAVENPORT,,IL
PEORIA,120516.66666666667,IL
MYRTLE BEACH,182916.66666666666,SC
MONTGOMERY,138166.66666666666,AL
SALISBURY,235250.0,MD
TALLAHASSEE,181283.33333333334,FL
TRENTON,209383.33333333334,NJ
FAYETTEVILLE,134116.66666666666,NC
HICKORY,154916.66666666666,NC
HUNTINGTON,124916.66666666667,WV
EUGENE,289366.6666666667,OR
ROCKFORD,119533.33333333333,IL
SAVANNAH,200900.0,GA
ANN ARBOR,264433.3333333333,MI
OCALA,151683.33333333334,FL
KALAMAZOO,151200.0,MI
NAPLES,324016.6666666667,FL
SOUTH BEND,129733.33333333333,IN
SPARTANBURG,139383.33333333334,SC
EVANSVILLE,139950.0,IN
KINGSPORT,131566.66666666666,TN
ROANOKE,168316.66666666666,VA
GREEN BAY,170400.0,WI
LINCOLN,184700.0,NE
FORT COLLINS,383300.0,CO
UTICA,124650.0,NY
COLUMBUS,140833.33333333334,GA
BOULDER,525133.3333333334,CO
ERIE,114866.66666666667,PA
FORT SMITH,118750.0,AR
DULUTH,155166.66666666666,MN
NEW LONDON,222550.0,CT
SAN LUIS OBISPO,583933.3333333334,CA
GAINESVILLE,187316.66666666666,FL
SANTA CRUZ,781866.6666666666,CA
CLARKSVILLE,161750.0,TN
MERCED,265083.3333333333,CA
KENNEWICK,292083.3333333333,WA
GREELEY,334983.3333333333,CO
OLYMPIA,317100.0,WA
AMARILLO,154066.66666666666,TX
