,Job Title,Company,City,State
0,AUTOMATION TEST ENGINEER,"Digital Intelligence Systems, LLC",Atlanta,GA
1,Information Security Engineer,University of Chicago/IT Services,Chicago,IL
2,Business Solutions Architect,"Galaxy Systems, Inc.",Schaumburg,IL
3,"Java Developer (mid level)- FT- GREAT culture, modern technologies, career growth",TransTech LLC,Bolingbrook,IL
4,DevOps Engineer,Matrix Resources,Atlanta,GA
5,SAP FICO Architect,Yash Technologies,Chicago,IL
6,Network Engineer,Noble1,Atlanta,GA
7,Sr. Web Application Developer (Cloud Team) - Chicago,"Bluebeam Software, Inc.",Chicago,IL
8,Front End Developer,Genesis10,New York,NY
9,Application Support Engineer,"VanderHouwen & Associates, Inc.",Seattle,WA
10,OpenStack Engineer - 12185,"Maxonic, Inc.",Sunnyvale,CA
11,9001 Data Security Administrator - Unix & IAM,CSI (Consultant Specialists Inc.),Highlands Ranch,CO
12,Software Engineer Manager,"VanderHouwen & Associates, Inc.",Portland,OR
13,Sales Engineer - Los Angles,Genesis10,Los Angeles,CA
14,Project Manager,"VanderHouwen & Associates, Inc.",Hillsboro,OR
15,Windows System Administrator,Eastridge Workforce Solutions,Las Vegas,NV
16,Test Lead / Test Manager,Collabera,Atlanta,GA
17,Principal Application Analyst-Supply Chain Lawson,"VanderHouwen & Associates, Inc.",Beaverton,OR
18,Messaging Administrator,Genesis10,Kansas City,MO
19,"Java Architect - Denver, CO - Fulltime",Fahrenheit IT Staffing & Consulting,Denver,CO
20,IT Business Analyst,Genesis10,Sandy Springs,GA
21,IT Sales Manager,Eastridge Workforce Solutions,Chicago,IL
22,Sr. Systems Test Engineer (PERM),Avesta Computer Services,Parsippany,NJ
23,IT Quality Consultant,Genesis10,Eden Prairie,MN
24,USB Validation Engineer,"VanderHouwen & Associates, Inc.",Austin,TX
25,Senior Product Manager,Amazon,Seattle,WA
26,Frontend/UI Developer,"VanderHouwen & Associates, Inc.",Seattle,WA
27,1001 Selenium Automation testing,"ReqRoute, Inc",Salt Lake City,UT
28,FireEeye HX - Security Engineer,Turnberry Solutions,Columbia,SC
29,Sr. Software Storage Engineer,"VanderHouwen & Associates, Inc.",Seattle,WA
30,C++ Software Engineer,Alpha Recruitment,Philadelphia,PA
31,Domestic Outsourcing Business Development Executive,Genesis10,Atlanta,GA
32,Lead Mobile Product Manager- 12255,"Maxonic, Inc.",Mountain View,CA
33,4709317 Project Planner/Scheduler,CSI (Consultant Specialists Inc.),South San Francisco,CA
34,Business Systems Analyst,"VanderHouwen & Associates, Inc.",Hillsboro,OR
35,Lead Java Engineer,"VanderHouwen & Associates, Inc.",Portland,OR
36,Project Coordinator II,Genesis10,Chicago,IL
37,Core Java Developer with distributed computing,Etouch Systems Corp,Mountain View,CA
38,Software Developer,"VanderHouwen & Associates, Inc.",Redmond,WA
39,"Mobile Automation Tester , Rate :Open Negotiable, 1 year",Centizen,Beaverton,OR
40,Project Manager : Information Security and Risk Management,CSI (Consultant Specialists Inc.),San Francisco,CA
41,Informatica Admin,Mygo Consulting,Tampa,FL
42,"Software Development Engineer, Big Data",Amazon,Austin,TX
43,Sr. Business Data Analyst,Genesis10,Eagan,MN
44,Clinical Site Monitor,Alpha Consulting Corp.,Los Angeles,CA
45,Product QA Engineer,Eastridge Workforce Solutions,Las Vegas,NV
46,System Support Administrator,Eastridge Workforce Solutions,Las Vegas,NV
47,Java Developer (Ecommerce),Ascent,Miami,FL
48,Geolocation Engineer,Alpha Recruitment,Tucson,AZ
49,Director of Product Development,Alpha Recruitment,Arlington,VA
50,Business Intelligence Development Manager,Eastridge Workforce Solutions,Las Vegas,NV
51,Senior. NET Developer (Temp-to-Perm),Amerit Consulting,Lisle,IL
52,Frontend/UI Developer,"VanderHouwen & Associates, Inc.",Seattle,WA
53,Domestic Outsourcing Business Development Executive,Genesis10,Atlanta,GA
54,Web Developer,Tellus Solutions,Sunnyvale,CA
55,Senior Full Stack Developer,Genesis10,New York,NY
56,Jr Business Analysts,Genesis10,Kansas City,KS
57,Manager - GFS,Amazon,Seattle,WA
58,Java Full Stack Engineer (Angular JS is must),Stratitude Inc,New York City,NY
59,Windows Administrator,Fahrenheit IT Staffing & Consulting,Saint Louis,MO
60,Software Engineer (Algorithm),Xoriant Corporation,Bridgewater,NJ
61,Sr. JavaScript Developer,"VanderHouwen & Associates, Inc.",Chandler,AZ
62,Planner/Scheduler,CSI (Consultant Specialists Inc.),Oceanside,CA
63,Technical Infrastructure Project Manager,"iSpace, Inc",Gardena,CA
64,Business Analyst,"VanderHouwen & Associates, Inc.",Spokane,WA
65,Project Coordinator,Tellus Solutions,Sunnyvale,CA
66,Sr Service Delivery Systems Administrator (DevOps) - 16-01286,"Akraya, Inc.",Westlake Village,CA
67,Oracle Business Systems Analyst,"iSpace, Inc",Burbank,CA
68,Sr. EDI Business Analyst,"VanderHouwen & Associates, Inc.",Portland,OR
69,Scientific Software Specialist and BA,CSI (Consultant Specialists Inc.),Brentwood,CA
70,Linux Engineer,Genesis10,New York,NY
71,Front end-UI developer/UI-Web designer,Fahrenheit IT Staffing & Consulting,New York,NY
72,IT Ops Support,Eastridge Workforce Solutions,San Francisco,CA
73,"Senior Product Manager, Pricing - Fulfillment By Amazon",Amazon,Seattle,WA
74,Infrastructure Production Developer,Genesis10,New York,NY
75,C#.NET Client/Server Developer,Thinkfind Corporation,Fort Worth,TX
76,Business Systems Analyst,"VanderHouwen & Associates, Inc.",Beaverton,OR
77,Software Infrastructure C++ Developer,Genesis10,New York,NY
78,Account Manager,"VanderHouwen & Associates, Inc.",Addison,TX
79,Technical Recruiter,Genesis10,New York,NY
80,Senior Technical Writer,Alpha Consulting Corp.,Camden,NJ
81,Sr. Quality Assurance Test Analyst,Genesis10,Plano,TX
82,Business Systems Analyst III,"VanderHouwen & Associates, Inc.",Salem,OR
83,Automated Test Engineer,Turnberry Solutions,Philadelphia,PA
84,Senior Drupal Developer,Precision Task Group,Bathesa,MD
85,Senior Devops Engineer (Contract),Ascent,Foster City,CA
86,Capacity Planning Engineer - 11350,"Maxonic, Inc.",El Segundo,CA
87,Data Center Virtualization Architect,Fahrenheit IT Staffing & Consulting,Denver,CO
88,Procurement System Manager,"VanderHouwen & Associates, Inc.",Beaverton,OR
89,Sr. Information Risk Management Analyst,"VanderHouwen & Associates, Inc.",Hillsboro,OR
90,Software Development Engineer,Amazon,Seattle,WA
91,Account Coordinator II,Genesis10,San Antonio,TX
92,Technical Lead Supply Chain - 12241,"Maxonic, Inc.",Pleasanton,CA
93,C++ Software Developer for Multi-Asset Risk System,Genesis10,New York,NY
94,Senior MySQL DBA,Fahrenheit IT Staffing & Consulting,Westmont,NJ
95,Manager of IS Network Engineers,Tailwind Associates,Albany,NY
96,(US)-Program Manager Senior,Princeton Information Ltd,Woodland Hills,CA
97,"Business Analyst - Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",SMCI,Los Angeles,CA
98,DHMSM Operational Medicine Interface Developer,"TAD PGS, Inc",Vienna,VA
99,Information Technology Architect,Mitchell Martin,Alpharetta,GA
100,SWIFT Messaging Specialist,Mitchell Martin,Ny,NY
101,Technician-Systems,MSRCosmos,Richardson,TX
102,Angular JS / SOA / Web Developer w/ Middleware,Mitchell Martin,Chicago,IL
103,BI Developer/Architect,TM Floyd,Chicago,IL
104,Soarian Clinicals Consultant (Cerner),"P. Murphy & Associates, Inc",Ontario,CA
106,Java Developer,"TRIGYN TECHNOLOGIES, INC.",Montreal,QC
107,SQL Web Application Developer,"SIS-Systems Integration Solutions, Inc.",Emeryville,CA
108,Mobile Device QA Tester II,Denali Advanced Integration,Bellevue,WA
109,Processor (Screen) - 3rd Shift,"TAD PGS, Inc",Tempe,AZ
110,Sr. Application Programmer,Princeton Information Ltd,Tampa,FL
